PWGTP,SEX,RAC1P,AGEP,PUMA,ST,
97,1,1,42,904,31,
98,1,1,53,903,31,
111,2,1,42,903,31,
81,1,1,18,903,31,
128,2,1,46,904,31,
87,2,1,25,901,31,
175,2,1,49,901,31,
88,1,1,25,901,31,
402,2,1,31,902,31,
329,2,2,22,904,31,
266,1,2,23,904,31,
85,2,1,60,901,31,
29,1,1,18,901,31,
105,2,1,40,901,31,
137,1,1,69,901,31,
132,2,1,67,901,31,
31,2,1,48,902,31,
115,2,1,87,901,31,
90,1,1,46,901,31,
94,2,1,44,901,31,
183,2,2,77,903,31,
166,2,5,39,902,31,
111,1,1,35,902,31,
69,1,9,43,901,31,
86,2,1,37,901,31,
384,1,6,19,902,31,
557,1,6,23,902,31,
557,1,6,19,902,31,
80,2,1,58,903,31,
112,1,1,60,903,31,
59,1,3,55,903,31,
80,2,3,64,903,31,
116,2,1,31,901,31,
109,1,1,36,901,31,
108,2,1,65,902,31,
110,1,1,65,902,31,
131,2,1,48,901,31,
92,1,1,25,901,31,
89,2,1,25,901,31,
139,1,1,49,903,31,
609,1,1,52,904,31,
110,1,2,37,902,31,
77,2,2,30,902,31,
120,1,2,26,902,31,
212,1,9,28,901,31,
151,2,1,20,901,31,
81,1,1,60,904,31,
106,2,1,47,903,31,
177,2,1,24,904,31,
218,2,1,24,904,31,
219,2,1,23,904,31,
219,2,1,21,904,31,
55,2,2,19,904,31,
83,2,1,33,904,31,
114,1,1,38,901,31,
116,2,1,37,901,31,
145,2,1,82,903,31,
92,1,1,44,903,31,
98,2,1,53,903,31,
116,2,1,66,902,31,
157,1,1,46,902,31,
90,1,1,60,902,31,
82,2,1,59,902,31,
100,2,1,41,901,31,
97,1,1,40,901,31,
273,2,1,23,901,31,
95,1,1,53,903,31,
112,2,1,53,903,31,
392,1,1,82,901,31,
48,1,1,19,901,31,
200,1,1,46,904,31,
221,1,1,20,904,31,
167,1,1,19,904,31,
93,2,1,25,901,31,
416,1,1,45,901,31,
110,2,1,79,902,31,
160,2,1,32,902,31,
147,1,6,52,902,31,
143,2,6,49,902,31,
97,2,1,23,902,31,
326,2,1,22,902,31,
320,1,1,29,902,31,
100,1,1,60,902,31,
92,2,1,57,902,31,
149,2,1,38,901,31,
131,1,1,56,901,31,
85,1,1,30,901,31,
84,1,1,40,904,31,
105,2,1,35,904,31,
115,1,1,69,901,31,
111,2,1,72,901,31,
98,1,1,39,902,31,
92,2,1,33,902,31,
135,2,8,54,904,31,
103,1,8,62,904,31,
144,2,8,25,904,31,
87,2,8,19,904,31,
149,1,8,28,904,31,
369,1,1,45,902,31,
182,1,2,60,901,31,
96,1,9,36,904,31,
93,2,1,61,902,31,
116,1,1,22,902,31,
114,1,1,21,902,31,
130,2,1,54,904,31,
331,2,1,42,901,31,
320,1,1,43,901,31,
104,1,1,37,901,31,
108,2,1,34,901,31,
101,1,1,27,901,31,
97,2,1,25,901,31,
108,1,1,74,901,31,
103,2,1,69,901,31,
92,2,1,33,904,31,
91,1,1,34,904,31,
93,1,1,56,902,31,
160,2,6,41,902,31,
431,2,1,38,901,31,
120,1,1,72,902,31,
90,1,1,55,902,31,
96,2,1,48,902,31,
93,2,1,64,901,31,
86,1,1,55,904,31,
124,2,1,67,904,31,
101,1,1,29,904,31,
85,1,1,30,904,31,
174,2,1,21,904,31,
121,2,1,50,902,31,
373,1,2,37,903,31,
511,1,2,37,903,31,
141,2,1,19,903,31,
119,2,1,55,904,31,
115,1,1,73,901,31,
112,2,1,71,901,31,
117,2,1,53,901,31,
92,1,1,56,901,31,
50,1,1,74,901,31,
